season,league_key,team_key,team_name,manager_nickname,transaction_id,timestamp,transaction_type,player_name,player_position,player_action,faab_bid
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,773,1126280182,add/drop,Mike MacDougal,RP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,773,1126280182,drop,Matt Clement,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,772,1126279940,add/drop,Derek Lowe,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,772,1126279940,drop,Jon Lieber,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,771,1126275553,add/drop,Ryan Freel,"2B,3B,OF",add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,771,1126275553,drop,Pedro Feliz,"1B,3B,SS,OF",drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,770,1126275128,add/drop,Scott Kazmir,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,770,1126275128,drop,Kris Benson,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,766,1125931696,add/drop,Jon Lieber,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,766,1125931696,drop,Jhonny Peralta,SS,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,757,1125669842,add/drop,Clint Barmes,"2B,SS",add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,757,1125669842,drop,Bradley Penny,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,756,1125583548,add/drop,Fernando Rodney,RP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,756,1125583548,drop,Chris Reitsma,RP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,741,1125243475,add,CC Sabathia,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,719,1124728748,add/drop,Matt Clement,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,719,1124728748,drop,Tyler Walker,RP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,712,1124477870,add/drop,Jhonny Peralta,SS,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,712,1124477870,drop,Horacio Ramirez,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,710,1124462713,add/drop,Horacio Ramirez,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,710,1124462713,drop,Mike Hampton,SP,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,706,1124373554,add/drop,Mike Hampton,SP,add,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,706,1124373554,drop,Milton Bradley,OF,drop,0
2005,113.l.199100,113.l.199100.t.1,Swing Batter,Scott,699,1124284421,add/drop,Tyler Walker,RP,add,0
